kod_sekolah,name,address,postcode,city,ppd,school_type,latitude,longitude,location
BBA0001,SEKOLAH KEBANGSAAN KLANG,JALAN DATO' HAMZAH,41000,KLANG,PPD KLANG,SK,3.040109,101.450558,
BBA0007,SEKOLAH KEBANGSAAN BATU BELAH,JALAN RANTAU PANJANG,42100,KLANG,PPD KLANG,SK,3.070836,101.443326,
BBA0008,SEKOLAH KEBANGSAAN RANTAU PANJANG,"JALAN GENTING, RANTAU PANJANG",42100,KLANG,PPD KLANG,SK,3.067503,101.410826,
BBA0032,SEKOLAH KEBANGSAAN TAMAN KLANG UTAMA,JALAN HAJI SIRAT,42100,KLANG,PPD KLANG,SK,3.084051,101.421676,
BBB0025,SEKOLAH KEBANGSAAN (1) JALAN BATU TIGA,"JALAN PEKAN BARU, TAMAN ENG ANN",41150,KLANG,PPD KLANG,SRK,3.056899,101.460828,
BBB0026,SEKOLAH KEBANGSAAN (2) JALAN BATU TIGA,"JALAN PEKAN BARU, TAMAN ENG ANN",41150,KLANG,PPD KLANG,SRK,3.057058,101.460842,
BBB0030,SEKOLAH KEBANGSAAN (1) JALAN MERU,JALAN MERU,41050,KLANG,PPD KLANG,SRK,3.058563,101.451033,
BBB0031,SEKOLAH KEBANGSAAN (2) JALAN MERU,JALAN MERU,41050,KLANG,PPD KLANG,SRK,3.05509,101.450206,
BBC0047,SEKOLAH JENIS KEBANGSAAN (CINA) KONG HOE,"54, JALAN BATU TIGA",41300,KLANG,PPD KLANG,SJK(C),3.047183,101.452193,
BBC0052,SEKOLAH JENIS KEBANGSAAN (CINA) PUI YING,"BATU 4, JALAN KAPAR",42100,KLANG,PPD KLANG,SJK(C),3.072392,101.410973,
BBD0062,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG BUKIT RAJAH,"LOT 27(OFF JALAN HAJI SIRAT BATU BELAH),JALAN SUMAZAU/KU5,BUKIT RAJA",41050,KLANG,PPD KLANG,SJK(T),3.091274,101.438365,
BBD0078,SEKOLAH JENIS KEBANGSAAN (TAMIL) JALAN MERU,JALAN MERU,41050,KLANG,PPD KLANG,SJK(T),3.056938,101.453386,
BBD8464,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG NORTH HUMMOCK,"NO.5 JLN SETIA PRIMA, U/U13,SEKSYEN U13,40170 SHAH ALAM",40170,SHAH ALAM,PPD KLANG,SJK(T),3.104316,101.445674,
BEA0107,SEKOLAH MENENGAH KEBANGSAAN TAMAN KLANG UTAMA,"PERSIARAN SG. KERAMAT, TAMAN KLANG UTAMA",42100,KLANG,PPD KLANG,SMK,3.082934,101.421703,
BEB0099,SEKOLAH MENENGAH KEBANGSAAN METHODIST (ACS),JALAN RAYA BARAT,41000,KLANG,PPD KLANG,SMK,3.042699,101.44047,
BEB0102,SEKOLAH MENENGAH KEBANGSAAN TINGGI KLANG,"LOT 161 & 48, JALAN MERU",41710,KLANG,PPD KLANG,SMK,3.054353,101.449266,
BEB0103,SEKOLAH MENENGAH KEBANGSAAN KWANG HUA,TAMAN ENG ANN,41150,KLANG,PPD KLANG,SMJK,3.064536,101.459421,
BEB0105,SEKOLAH MENENGAH KEBANGSAAN (P) METHODIST,JALAN RAYA BARAT,41000,KLANG,PPD KLANG,SMK,3.045108,101.440943,
BFT0001,SAMT SULTAN HISAMUDDIN,"JALAN KOTA RAJA, KG JAWA",41000,KLANG,PPD KLANG,SM Agama (SABK),3.027939,101.468754,
BBA0009,SEKOLAH KEBANGSAAN SEMENTA,"BATU 6, JALAN KAPAR",42100,KLANG,PPD KLANG,SK,3.092975,101.384533,
BBA0010,SEKOLAH KEBANGSAAN KAPAR,"BATU 10 JALAN KAPAR, SELANGOR",42200,KAPAR,PPD KLANG,SK,3.134103,101.377176,
BBA0011,SEKOLAH KEBANGSAAN BUKIT KAPAR,"JALAN SETIA JAYA, KG BUKIT KAPAR",42200,KAPAR,PPD KLANG,SK,3.166437,101.424347,
BBA0012,SEKOLAH KEBANGSAAN SUNGAI BINJAI,"BATU 6, PEKAN MERU",41050,KLANG,PPD KLANG,SK,3.137499,101.438484,
BBA0014,SEKOLAH KEBANGSAAN TOK MUDA,JLN KG TOK MUDA,42200,KAPAR,PPD KLANG,SK,3.133931,101.345104,
BBA0019,SEKOLAH KEBANGSAAN SUNGAI SERDANG,"BT 13 1/2, JALAN KAPAR",42200,KAPAR,PPD KLANG,SK,3.149329,101.327528,
BBA0029,SEKOLAH KEBANGSAAN ABDUL SAMAT,"BATU 11, JALAN KAPAR",42200,KAPAR,PPD KLANG,SK,3.137807,101.371575,
BBA0030,SEKOLAH KEBANGSAAN MERU,PERSIARAN HAMZAH ALANG,42200,KAPAR,PPD KLANG,SK,3.138045,101.408216,
BBA0038,SEKOLAH KEBANGSAAN MERU (2),"JALAN PAIP, PEKAN MERU",41050,KLANG,PPD KLANG,SK,3.153299,101.460825,
BBA0039,SEKOLAH KEBANGSAAN SUNGAI KAPAR INDAH,"JLN SUNGAI KAPAR INDAH 6, TMN SUNGAI KAPAR INDAH",42200,KAPAR,PPD KLANG,SK,3.100036,101.38421,
BBA3030,SEKOLAH KEBANGSAAN BUKIT CERAKA,FELDA BUKIT CERAKA  KAPAR,42200,KAPAR,PPD KLANG,SK,3.203839,101.435125,
BBC0054,SEKOLAH JENIS KEBANGSAAN (CINA) SOO JIN,PEKAN KAPAR,42200,KAPAR,PPD KLANG,SJK(C),3.139819,101.37393,
BBC0055,SEKOLAH JENIS KEBANGSAAN (CINA) TIONG HUA KOK BIN,"PEKAN MERU, BATU 6, OFF JALAN MERU",41050,KLANG,PPD KLANG,SJK(C),3.135503,101.439103,
BBC0058,SEKOLAH JENIS KEBANGSAAN (CINA) YING WAH,"BATU 12, JALAN KAPAR",42200,KAPAR,PPD KLANG,SJK(C),3.145306,101.35067,
BBD0061,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG BRAFFERTON,LADANG BRAFFERTON,42200,KAPAR,PPD KLANG,SJK(T),3.174271,101.347592,
BBD0075,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG JALAN ACOB,LADANG JALAN ACOB,42200,KAPAR,PPD KLANG, SJK(T),3.160354,101.378681,
BBD0079,SEKOLAH JENIS KEBANGSAAN (TAMIL) METHODIST,JALAN BUKIT KAPAR,42200,KAPAR,PPD KLANG,SJK(T),3.143005,101.379108,
