kod_sekolah,name,address,latitude,longitude,ppd,school_type,,sebab_ralat
ABA0014,SEKOLAH KEBANGSAAN JERAM MENGKUANG,BATU 5, JERAM MENGKUANG,4.067267615,101.2414126,PPD BATANG PADANG,['RENDAH'],could not convert string to float: 'JERAM MENGKUANG'
ABA0128,SEKOLAH KEBANGSAAN JERNANG,P/SURAT 14, PEJABAT POS SUNGKAI,4.051292,101.419363,PPD BATANG PADANG,['RENDAH'],could not convert string to float: 'PEJABAT POS SUNGKAI'
ABA1021,SEKOLAH KEBANGSAAN DATO' ISHAK,KAMPUNG PADANG TEMBAK, TELUK MUROK,4.208738,100.620306,PPD MANJUNG,['RENDAH'],could not convert string to float: 'TELUK MUROK'
ABA2001,SEKOLAH KEBANGSAAN SUNGAI RAYA,JLN. RAJA DR. NAZRIN SHAH, KAMPONG KEPAYANG,4.519880705,101.1335844,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'KAMPONG KEPAYANG'
ABA2016,SEKOLAH KEBANGSAAN PENGKALAN PEGOH,JALAN SIMPANG PULAI, KG. PENGKALAN PEGOH,4.531342109,101.0696308,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'KG. PENGKALAN PEGOH'
ABA2017,SEKOLAH KEBANGSAAN PENGKALAN BAHARU,JALAN GOPENG, KG. KEPAYANG,4.492805503,101.1189996,PPD KINTA SELATAN,['RENDAH'],could not convert string to float: 'KG. KEPAYANG'
ABA2041,SEKOLAH KEBANGSAAN MANJOI (SATU),JALAN  MASJID, KG. MANJOI,4.618595,101.071705,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'KG. MANJOI'
ABA2042,SEKOLAH KEBANGSAAN GURU KALGIDHAR,JALAN GUNTONG, BUNTONG,4.592886,101.064374,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'BUNTONG'
ABA2044,SEKOLAH KEBANGSAAN PENDIDIKAN KHAS IPOH,JALAN KUALA KANGSAR, ANJUNG TAWAS,4.655194743,101.106157,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'ANJUNG TAWAS'
ABA2051,SEKOLAH KEBANGSAAN JALAN PEGOH,LRG. PEGOH 4, TMN. PENGKALAN JAYA,4.554196,101.080888,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'TMN. PENGKALAN JAYA'
ABA2058,SEKOLAH KEBANGSAAN JATI,JALAN TAMAN JATI 1, TAMAN JATI, JELAPANG,4.656033166,101.074223,"['PPD KINTA UTARA', 'RENDAH']",could not convert string to float: 'JELAPANG'
ABA2060,SEKOLAH KEBANGSAAN SILIBIN,PERSIARAN JELAPANG 13,TAMAN SILIBIN,4.61821,101.051196,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'TAMAN SILIBIN'
ABA2061,SEKOLAH KEBANGSAAN TASEK DERMAWAN,KAMPUNG TERSUSUN TASEK, BERCHAM,4.639548355,101.1193229,PPD KINTA UTARA,['RENDAH'],could not convert string to float: 'BERCHAM'
ABA2065,SEKOLAH KEBANGSAAN JELAPANG JAYA,LALUAN KERANJI 5, KG DATO' AHMAD SAID TAMBAHAN 3,4.634638,101.075136,PPD KINTA UTARA,['RENDAH'],"could not convert string to float: ""KG DATO' AHMAD SAID TAMBAHAN 3"""
ABA2067,SEKOLAH KEBANGSAAN SERI JAYA,KAMPONG SERI JAYA, JALAN CHANGKAT LARANG,4.478902,101.064665,PPD KINTA SELATAN,['RENDAH'],could not convert string to float: 'JALAN CHANGKAT LARANG'
ABA3008,SEKOLAH KEBANGSAAN MATANG JELUTONG,KG MATANG JELUTONG, JALAN SELAMA,5.033052634,100.5625443,PPD KRIAN,['RENDAH'],could not convert string to float: 'JALAN SELAMA'
ABA3014,SEKOLAH KEBANGSAAN TELUK MEDAN,JALAN TAIPING, TELUK MEDAN,4.987589024,100.5758661,PPD KRIAN,['RENDAH'],could not convert string to float: 'TELUK MEDAN'
ABA3028,SEKOLAH KEBANGSAAN SUNGAI MEGAT ARIS,SUNGAI MEGAT ARIS, BAGAN TIANG,5.106616,100.408441,PPD KRIAN,['RENDAH'],could not convert string to float: 'BAGAN TIANG'
ABA3029,SEKOLAH KEBANGSAAN GUNONG SEMANGGOL,GUNONG SEMANGGOL, SIMPANG EMPAT,4.968423,100.650746,PPD KRIAN,['RENDAH'],could not convert string to float: 'SIMPANG EMPAT'
ABA3032,SEKOLAH KEBANGSAAN SAMA GAGAH,SIMPANG EMPAT, SEMANGGOL,4.915061026,100.633659,PPD KRIAN,['RENDAH'],could not convert string to float: 'SEMANGGOL'
ABA3037,SEKOLAH KEBANGSAAN HAJI DAHLAN,TEBOK MATAU, SIMPANG EMPAT,4.98865,100.632935,PPD KRIAN,['RENDAH'],could not convert string to float: 'SIMPANG EMPAT'
ABA4004,SEKOLAH KEBANGSAAN BELURU,JALAN KAMPUNG KUBANG HALBAN, ENGGOR,4.823734717,100.9425992,PPD KUALA KANGSAR,['RENDAH'],could not convert string to float: 'ENGGOR'
ABA4009,SEKOLAH KEBANGSAAN SENGGANG,JALAN TUN SABAN, KAMPUNG SENGGANG,4.668944022,100.9286467,PPD KUALA KANGSAR,['RENDAH'],could not convert string to float: 'KAMPUNG SENGGANG'
ABA4011,SEKOLAH KEBANGSAAN SULTAN IDRIS II,646, JLN TUN ABDUL RAZAK,4.77573,100.93501,PPD KUALA KANGSAR,['RENDAH'],could not convert string to float: 'JLN TUN ABDUL RAZAK'
ABA4021,SEKOLAH KEBANGSAAN JELIANG,JALAN BARU, KAMPUNG JELIANG,4.624176444,100.8749697,PPD KUALA KANGSAR,['RENDAH'],could not convert string to float: 'KAMPUNG JELIANG'
ABA4024,SEKOLAH KEBANGSAAN ULU PIOL,JALAN HJ OTHMAN, KG ULU PIOL,4.57964,100.87874,PPD KUALA KANGSAR,['RENDAH'],could not convert string to float: 'KG ULU PIOL'
ABA4030,SEKOLAH KEBANGSAAN PEREMPUAN,JALAN BESAR, PEKAN PADANG RENGAS,4.775241602,100.8439965,PPD KUALA KANGSAR,['RENDAH'],could not convert string to float: 'PEKAN PADANG RENGAS'
ABA4058,SEKOLAH KEBANGSAAN KAMPUNG NASIB,JALAN IPOH, ENGGOR,4.835487,100.982172,PPD KUALA KANGSAR,['RENDAH'],could not convert string to float: 'ENGGOR'
ABA5005,SEKOLAH KEBANGSAAN CHANGKAT JONG,BT 8, KG. BARU CHANGKAT JONG,3.983093,101.122558,PPD HILIR PERAK,['RENDAH'],could not convert string to float: 'KG. BARU CHANGKAT JONG'
ABA5006,SEKOLAH KEBANGSAAN AYER HITAM,BATU 15, JALAN BIDOR,4.020495,101.201501,PPD HILIR PERAK,['RENDAH'],could not convert string to float: 'JALAN BIDOR'
ABA5012,SEKOLAH KEBANGSAAN TELUK BIRAH,KG. TELUK BIRAH, MUKIM SG DURIAN,4.031055,100.930043,PPD HILIR PERAK,['RENDAH'],could not convert string to float: 'MUKIM SG DURIAN'
ABA5062,SEKOLAH KEBANGSAAN CHIKUS,JALAN CHIKUS, OFF JLN SG MANIK, KG CHIKUS,4.072067,101.121258,"['PPD HILIR PERAK', 'RENDAH']",could not convert string to float: 'KG CHIKUS'
ABA5070,SEKOLAH KEBANGSAAN PENGKALAN ARA,PARIT 5, OFF JLN TELUK INTAN CHENDERONG BALAI,4.119002,101.051805,PPD HILIR PERAK,['RENDAH'],could not convert string to float: 'OFF JLN TELUK INTAN CHENDERONG BALAI'
ABA5072,SEKOLAH KEBANGSAAN KAMPUNG BAHARU REDANG PONGGOR,KM 33, JALAN KAMPAR,4.150311,101.127805,PPD HILIR PERAK,['RENDAH'],could not convert string to float: 'JALAN KAMPAR'
ABA5073,SEKOLAH KEBANGSAAN KAMPUNG BAHAGIA,KM 7,  JALAN SUNGAI MANIK,4.037563,101.048467,PPD HILIR PERAK,['RENDAH'],could not convert string to float: 'JALAN SUNGAI MANIK'
ABA5077,SEKOLAH KEBANGSAAN PERWIRA,KM 5, JALAN CHANGKAT JONG,4.000626,101.044287,PPD HILIR PERAK,['RENDAH'],could not convert string to float: 'JALAN CHANGKAT JONG'
ABA6001,SEKOLAH KEBANGSAAN LONG JAAFAR,LOT 331, JALAN KAMPUNG JANA,4.888683143,100.7293195,PPD LARUT/MATANG/SELAMA,['RENDAH'],could not convert string to float: 'JALAN KAMPUNG JANA'
ABA6029,SEKOLAH KEBANGSAAN JELAI,JALAN BESAR, JELAI,5.012584012,100.8113659,PPD LARUT/MATANG/SELAMA,['RENDAH'],could not convert string to float: 'JELAI'
ABA6033,SEKOLAH KEBANGSAAN HAJI WAN JAAFAR,JALAN KAMPONG MASJID, IJOK,5.133514418,100.833112,PPD LARUT/MATANG/SELAMA,['RENDAH'],could not convert string to float: 'IJOK'
ABA6034,SEKOLAH KEBANGSAAN SUNGAI JERNIH,JALAN SUNGAI JERNIH, IJOK,5.14126075,100.8668901,PPD LARUT/MATANG/SELAMA,['RENDAH'],could not convert string to float: 'IJOK'
ABA6041,SEKOLAH KEBANGSAAN ULU MENGKUANG,JALAN MESJID, ULU MENGKUANG,5.212918998,100.7649276,PPD LARUT/MATANG/SELAMA,['RENDAH'],could not convert string to float: 'ULU MENGKUANG'
ABA6055,SEKOLAH KEBANGSAAN BUKIT JANA,BATU 4, JALAN BATU KURAU ,4.904684,100.733085,PPD LARUT/MATANG/SELAMA,['RENDAH'],could not convert string to float: 'JALAN BATU KURAU'
ABA6061,SEKOLAH KEBANGSAAN TAMAN PALMA,LORONG PG/2, TAMAN PALMA,4.881327,100.713692,PPD LARUT/MATANG/SELAMA,['RENDAH'],could not convert string to float: 'TAMAN PALMA'
ABA7001,SEKOLAH KEBANGSAAN KEROH,605, JALAN TASEK,5.705607,100.998206,PPD HULU PERAK,['RENDAH'],could not convert string to float: 'JALAN TASEK'
ABA7021,SEKOLAH KEBANGSAAN SERI TAWAI,KAMPUNG TAWAI , JALAN GERIK LENGGONG,5.388904,101.076911,PPD HULU PERAK,['RENDAH'],could not convert string to float: 'JALAN GERIK LENGGONG'
ABA7022,SEKOLAH KEBANGSAAN KENAYAT,KM 18, JALAN GERIK LENGGONG,5.356697,101.038099,PPD HULU PERAK,['RENDAH'],could not convert string to float: 'JALAN GERIK LENGGONG'
ABA7024,SEKOLAH KEBANGSAAN KERUNAI,JALAN INTAN, KG. KERUNAI,5.515248,101.126806,PPD HULU PERAK,['RENDAH'],could not convert string to float: 'KG. KERUNAI'
ABA7027,SEKOLAH KEBANGSAAN RKT BERSIA,JALAN KELILING, FELDA BERSIA,5.473906,101.203915,PPD HULU PERAK,['RENDAH'],could not convert string to float: 'FELDA BERSIA'
ABA7037,SEKOLAH KEBANGSAAN RPS BANUN,PETI SURAT 60, PEJABAT POS GERIK,5.558584,101.414861,PPD HULU PERAK,['RENDAH'],could not convert string to float: 'PEJABAT POS GERIK'
ABA7038,SEKOLAH KEBANGSAAN RPS DALA,PETI SURAT 33, PEJABAT  POS GERIK,5.248873,101.179392,PPD HULU PERAK,['RENDAH'],could not convert string to float: 'PEJABAT  POS GERIK'
ABA7040,SEKOLAH KEBANGSAAN BATU 4,BT 4, JALAN KUALA RUI,5.452761,101.145755,PPD HULU PERAK,['RENDAH'],could not convert string to float: 'JALAN KUALA RUI'
